ADDRESS,ZIP CODE,SALE PRICE,SALE DATE
"520 WEST 23RD STREET, 16C",10011,732500,2016-09-29
"520 WEST 23RD STREET, 14D",10011,518000,2016-10-28
"520 WEST 23RD STREET, 8C",10011,1215000,2016-11-16
"520 WEST 23RD STREET, 3F",10011,775000,2016-12-13
"520 WEST 23RD STREET, 4G",10011,800000,2017-02-17
"520 WEST 23RD   STREET, 10H",10011,900000,2017-05-23
"520 WEST 23RD STREET, 6H",10011,850000,2017-06-22
"520 WEST 23RD, 14C",10011,735000,2017-07-13
"520 WEST 23RD STREET, 12A",10011,655000,2017-07-14
"520 WEST 23RD   STREET, 6-C",10011,1080000,2017-07-18
"453 WEST 19TH STREET, 2A",10011,790000,2017-01-26
"400 WEST 23RD STREET, 2J",10011,639000,2017-01-19
"400 WEST 23RD STREET, 4L",10011,875000,2017-04-28
"410 WEST 23RD STREET, 5G",10011,452000,2016-12-28
"426 WEST 23RD   STREET, 4F",10011,932500,2016-11-03
"426 WEST 23RD STREET, 1F",10011,980000,2017-05-17
"433 WEST 24TH STREET, 5C",10011,701574,2017-04-28
"433 WEST 24TH STREET, 1F",10011,1200000,2017-08-24
"331 WEST 14TH STREET, 7A",10014,875000,2017-05-02
"331 WEST 14TH STREET, 4AB",10014,979000,2017-06-27
"325 WEST 16TH STREET, 4W",10011,1350000,2016-11-21
"319 WEST 18TH STREET, 2I",10011,635000,2017-08-17
"320 WEST 19TH STREET, 4F",10011,750000,2017-08-14
"365 WEST 20TH STREET, 15E",10011,995000,2016-10-17
"365 WEST 20TH STREET, 5A",10011,661862,2016-11-04
"365 WEST 20TH STREET, 2B",10011,835000,2017-03-07
"365 WEST 20TH STREET, 16E",10011,1017000,2017-05-01
"315 WEST 23RD STREET, 6F",10011,1495000,2017-07-10
"321 WEST 24TH STREET, 8H",10011,113692,2016-12-28
"321 WEST 24TH STREET, 1C",10011,101164,2016-10-14
"321 WEST 24TH STREET, 3G",10011,86231,2016-09-01
"341 WEST 24TH STREET, 19D",10011,72260,2016-10-17
"321 WEST 24TH STREET, 12A",10011,103640,2017-02-15
"351 WEST 24TH STREET, 15G",10011,88332,2016-12-15
"341 WEST 24TH STREET, 12A",10011,101726,2016-11-15
"311 WEST 24TH STREET, 10F",10011,116447,2016-11-01
"311 WEST 24TH STREET, 2G",10011,87346,2016-09-15
"365 WEST 25TH STREET, 1E",10001,86712,2016-10-01
"365 WEST 25TH STREET, 15E",10001,87346,2016-11-15
"315 8TH AVENUE, 5J",10001,144521,2016-10-17
"315 8TH AVENUE, 9A",10001,137150,2016-11-21
"290 9TH AVENUE, 21F",10001,118280,2016-12-01
"290 9TH AVENUE, 3G",10001,86712,2016-09-01
"340 WEST 28TH STREET, 10H",10001,114975,2016-09-15
"290 9TH AVENUE, 14B",10001,129347,2016-09-01
"330 WEST 28TH STREET, 21A",10001,100603,2016-09-15
